Population,State Number,Median Household Income Est.
2976149,28,44740
6137428,29,54412
1068778,30,55248
1934408,31,59724
3080156,32,58740
1359711,33,75322
8882190,34,81777
2096829,35,47405
19453561,36,67648
10488084,37,53922
762062,38,65250
11689100,39,56155
3956971,40,51914
4217737,41,63168
12801989,42,60891
1059361,44,63787
5148714,45,52449
884659,46,57041
6829174,47,52366
28995881,48,60632
623989,50,60917
3205958,49,71381
8535519,51,72600
7614893,53,74023
1792147,54,44038
5822434,55,60779
578759,56,62259
4903185,01,49881
731545,02,74912
7278717,04,59079
3017804,05,47094
39512223,06,75250
5758736,08,71949
973764,10,65467
705749,11,82533
3565287,09,76366
21477737,12,55433
10617423,13,58634
1787065,16,55524
1415872,15,80527
12671821,17,65063
6732219,18,55725
3155070,19,60071
2913314,20,58150
4467673,21,50189
4648794,22,48021
1344212,23,55579
6045680,24,83076
6892503,25,79817
9986857,26,56640
5639632,27,70295
