Median Household Income Est.,State,State Number
49881,Alabama,01
74912,Alaska,02
59079,Arizona,04
47094,Arkansas,05
75250,California,06
71949,Colorado,08
76366,Connecticut,09
65467,Delaware,10
82533,District of Columbia,11
55433,Florida,12
58634,Georgia,13
80527,Hawaii,15
55524,Idaho,16
65063,Illinois,17
55725,Indiana,18
60071,Iowa,19
58150,Kansas,20
50189,Kentucky,21
48021,Louisiana,22
55579,Maine,23
83076,Maryland,24
79817,Massachusetts,25
56640,Michigan,26
70295,Minnesota,27
44740,Mississippi,28
54412,Missouri,29
55248,Montana,30
59724,Nebraska,31
58740,Nevada,32
75322,New Hampshire,33
81777,New Jersey,34
47405,New Mexico,35
67648,New York,36
53922,North Carolina,37
65250,North Dakota,38
56155,Ohio,39
51914,Oklahoma,40
63168,Oregon,41
60891,Pennsylvania,42
63787,Rhode Island,44
52449,South Carolina,45
57041,South Dakota,46
52366,Tennessee,47
60632,Texas,48
71381,Utah,49
60917,Vermont,50
72600,Virginia,51
74023,Washington,53
44038,West Virginia,54
60779,Wisconsin,55
62259,Wyoming,56
